learning_rate,hidden_dim,weight_decay,activation,config_id,best_val_acc,weight_file,curve_file
0.001,1024,0.0005,relu,lr0.001_hd1024_wd0.0005_relu,0.6759259259259259,checkpoints/best_lr0.001_hd1024_wd0.0005_relu.pkl,logs/detailed_curves/curve_lr0.001_hd1024_wd0.0005_relu.csv
0.001,1024,0.0005,tanh,lr0.001_hd1024_wd0.0005_tanh,0.6166666666666667,checkpoints/best_lr0.001_hd1024_wd0.0005_tanh.pkl,logs/detailed_curves/curve_lr0.001_hd1024_wd0.0005_tanh.csv
0.001,1024,0.0005,sigmoid,lr0.001_hd1024_wd0.0005_sigmoid,0.6255555555555555,checkpoints/best_lr0.001_hd1024_wd0.0005_sigmoid.pkl,logs/detailed_curves/curve_lr0.001_hd1024_wd0.0005_sigmoid.csv
0.001,2048,0.001,relu,lr0.001_hd2048_wd0.001_relu,0.6881481481481482,checkpoints/best_lr0.001_hd2048_wd0.001_relu.pkl,logs/detailed_curves/curve_lr0.001_hd2048_wd0.001_relu.csv
0.001,2048,0.001,tanh,lr0.001_hd2048_wd0.001_tanh,0.6225925925925926,checkpoints/best_lr0.001_hd2048_wd0.001_tanh.pkl,logs/detailed_curves/curve_lr0.001_hd2048_wd0.001_tanh.csv
0.001,2048,0.001,sigmoid,lr0.001_hd2048_wd0.001_sigmoid,0.6281481481481481,checkpoints/best_lr0.001_hd2048_wd0.001_sigmoid.pkl,logs/detailed_curves/curve_lr0.001_hd2048_wd0.001_sigmoid.csv
0.001,2048,0.0005,relu,lr0.001_hd2048_wd0.0005_relu,0.6874074074074074,checkpoints/best_lr0.001_hd2048_wd0.0005_relu.pkl,logs/detailed_curves/curve_lr0.001_hd2048_wd0.0005_relu.csv
0.001,2048,0.0005,tanh,lr0.001_hd2048_wd0.0005_tanh,0.6203703703703703,checkpoints/best_lr0.001_hd2048_wd0.0005_tanh.pkl,logs/detailed_curves/curve_lr0.001_hd2048_wd0.0005_tanh.csv
0.001,2048,0.0005,sigmoid,lr0.001_hd2048_wd0.0005_sigmoid,0.6233333333333333,checkpoints/best_lr0.001_hd2048_wd0.0005_sigmoid.pkl,logs/detailed_curves/curve_lr0.001_hd2048_wd0.0005_sigmoid.csv
0.0005,512,0.001,relu,lr0.0005_hd512_wd0.001_relu,0.6659259259259259,checkpoints/best_lr0.0005_hd512_wd0.001_relu.pkl,logs/detailed_curves/curve_lr0.0005_hd512_wd0.001_relu.csv
0.0005,512,0.001,tanh,lr0.0005_hd512_wd0.001_tanh,0.6211111111111111,checkpoints/best_lr0.0005_hd512_wd0.001_tanh.pkl,logs/detailed_curves/curve_lr0.0005_hd512_wd0.001_tanh.csv
0.0005,512,0.001,sigmoid,lr0.0005_hd512_wd0.001_sigmoid,0.6096296296296296,checkpoints/best_lr0.0005_hd512_wd0.001_sigmoid.pkl,logs/detailed_curves/curve_lr0.0005_hd512_wd0.001_sigmoid.csv
0.0005,512,0.0005,relu,lr0.0005_hd512_wd0.0005_relu,0.664074074074074,checkpoints/best_lr0.0005_hd512_wd0.0005_relu.pkl,logs/detailed_curves/curve_lr0.0005_hd512_wd0.0005_relu.csv
0.0005,512,0.0005,tanh,lr0.0005_hd512_wd0.0005_tanh,0.617037037037037,checkpoints/best_lr0.0005_hd512_wd0.0005_tanh.pkl,logs/detailed_curves/curve_lr0.0005_hd512_wd0.0005_tanh.csv
0.0005,512,0.0005,sigmoid,lr0.0005_hd512_wd0.0005_sigmoid,0.6188888888888889,checkpoints/best_lr0.0005_hd512_wd0.0005_sigmoid.pkl,logs/detailed_curves/curve_lr0.0005_hd512_wd0.0005_sigmoid.csv
0.0005,1024,0.001,relu,lr0.0005_hd1024_wd0.001_relu,0.6888888888888889,checkpoints/best_lr0.0005_hd1024_wd0.001_relu.pkl,logs/detailed_curves/curve_lr0.0005_hd1024_wd0.001_relu.csv
0.0005,1024,0.001,tanh,lr0.0005_hd1024_wd0.001_tanh,0.6248148148148148,checkpoints/best_lr0.0005_hd1024_wd0.001_tanh.pkl,logs/detailed_curves/curve_lr0.0005_hd1024_wd0.001_tanh.csv
0.0005,1024,0.001,sigmoid,lr0.0005_hd1024_wd0.001_sigmoid,0.6137037037037038,checkpoints/best_lr0.0005_hd1024_wd0.001_sigmoid.pkl,logs/detailed_curves/curve_lr0.0005_hd1024_wd0.001_sigmoid.csv
0.0005,1024,0.0005,relu,lr0.0005_hd1024_wd0.0005_relu,0.6785185185185185,checkpoints/best_lr0.0005_hd1024_wd0.0005_relu.pkl,logs/detailed_curves/curve_lr0.0005_hd1024_wd0.0005_relu.csv
0.0005,1024,0.0005,tanh,lr0.0005_hd1024_wd0.0005_tanh,0.6266666666666667,checkpoints/best_lr0.0005_hd1024_wd0.0005_tanh.pkl,logs/detailed_curves/curve_lr0.0005_hd1024_wd0.0005_tanh.csv
0.0005,1024,0.0005,sigmoid,lr0.0005_hd1024_wd0.0005_sigmoid,0.6125925925925926,checkpoints/best_lr0.0005_hd1024_wd0.0005_sigmoid.pkl,logs/detailed_curves/curve_lr0.0005_hd1024_wd0.0005_sigmoid.csv
0.0005,2048,0.001,relu,lr0.0005_hd2048_wd0.001_relu,0.6822222222222222,checkpoints/best_lr0.0005_hd2048_wd0.001_relu.pkl,logs/detailed_curves/curve_lr0.0005_hd2048_wd0.001_relu.csv
0.0005,2048,0.001,tanh,lr0.0005_hd2048_wd0.001_tanh,0.6318518518518519,checkpoints/best_lr0.0005_hd2048_wd0.001_tanh.pkl,logs/detailed_curves/curve_lr0.0005_hd2048_wd0.001_tanh.csv
0.0005,2048,0.001,sigmoid,lr0.0005_hd2048_wd0.001_sigmoid,0.6118518518518519,checkpoints/best_lr0.0005_hd2048_wd0.001_sigmoid.pkl,logs/detailed_curves/curve_lr0.0005_hd2048_wd0.001_sigmoid.csv
0.0005,2048,0.0005,relu,lr0.0005_hd2048_wd0.0005_relu,0.6877777777777778,checkpoints/best_lr0.0005_hd2048_wd0.0005_relu.pkl,logs/detailed_curves/curve_lr0.0005_hd2048_wd0.0005_relu.csv
0.0005,2048,0.0005,tanh,lr0.0005_hd2048_wd0.0005_tanh,0.6255555555555555,checkpoints/best_lr0.0005_hd2048_wd0.0005_tanh.pkl,logs/detailed_curves/curve_lr0.0005_hd2048_wd0.0005_tanh.csv
0.0005,2048,0.0005,sigmoid,lr0.0005_hd2048_wd0.0005_sigmoid,0.6144444444444445,checkpoints/best_lr0.0005_hd2048_wd0.0005_sigmoid.pkl,logs/detailed_curves/curve_lr0.0005_hd2048_wd0.0005_sigmoid.csv
