epoch,loss,train_acc,val_acc
1,1.5959008232217373,0.48375,0.4855555555555556
2,1.3891901765537047,0.5582407407407407,0.552962962962963
3,1.312951322499477,0.5677777777777778,0.5559259259259259
4,1.2603157444632231,0.595925925925926,0.5659259259259259
5,1.2183640458009968,0.6095833333333334,0.5674074074074074
6,1.1814852769023283,0.6025,0.5796296296296296
7,1.1511927505913382,0.6312962962962962,0.5696296296296296
8,1.1237476026491615,0.6604166666666667,0.5877777777777777
9,1.0913661152170202,0.653287037037037,0.5788888888888889
10,1.067276136431487,0.6724074074074075,0.5996296296296296
11,1.0377815251845712,0.6850462962962963,0.6029629629629629
12,1.0120113730123557,0.6876388888888889,0.5825925925925926
13,0.9885234917620649,0.6965277777777777,0.5951851851851852
14,0.9634283710160368,0.705324074074074,0.597037037037037
15,0.9393335112367569,0.7079166666666666,0.5914814814814815
16,0.9166192150247682,0.7154166666666667,0.5966666666666667
17,0.8900003768451494,0.7399537037037037,0.6048148148148148
18,0.8692299974917791,0.7469444444444444,0.6011111111111112
19,0.8480702434352723,0.7389351851851852,0.5929629629629629
20,0.8259854778483052,0.7336111111111111,0.5807407407407408
21,0.7836794629653054,0.7808333333333334,0.6140740740740741
22,0.7700882624747043,0.7747685185185185,0.6144444444444445
23,0.7598549961345703,0.7854166666666667,0.6066666666666667
24,0.7493261393901307,0.7881018518518519,0.6133333333333333
25,0.7390123288564033,0.7912962962962963,0.6181481481481481
26,0.7290606740384203,0.7918981481481482,0.6103703703703703
27,0.7189781958121891,0.8024537037037037,0.6166666666666667
28,0.708837393514959,0.7974074074074075,0.6133333333333333
29,0.6987566404803305,0.7913425925925925,0.607037037037037
30,0.6912693167317163,0.8095833333333333,0.6103703703703703
31,0.6796025055694267,0.8087037037037037,0.6103703703703703
32,0.6728571001983066,0.8159722222222222,0.6118518518518519
33,0.6630345123092067,0.8108333333333333,0.6085185185185186
34,0.6531627352434285,0.8262037037037037,0.6159259259259259
35,0.6432039183920168,0.8314814814814815,0.6148148148148148
36,0.6341186052732537,0.8287962962962963,0.6225925925925926
37,0.6269023196297154,0.8307407407407408,0.6177777777777778
38,0.6189407039807718,0.8391203703703703,0.6140740740740741
39,0.6083677253217397,0.8436111111111111,0.6262962962962964
40,0.6018353376401496,0.8437037037037037,0.6148148148148148
41,0.5830149985815071,0.851574074074074,0.6203703703703703
42,0.5785009604112417,0.8507407407407407,0.6185185185185185
43,0.5745032999272576,0.8500925925925926,0.6129629629629629
44,0.5698421872311623,0.8553240740740741,0.6166666666666667
45,0.5660206166893177,0.855462962962963,0.6177777777777778
46,0.5620196933536531,0.8556944444444444,0.6255555555555555
47,0.5581746406129048,0.8560648148148148,0.6155555555555555
48,0.5544413056836418,0.8570833333333333,0.6151851851851852
49,0.5505975160764757,0.862037037037037,0.6155555555555555
50,0.5466669482732579,0.8606018518518519,0.6103703703703703
