epoch,loss,train_acc,val_acc
1,1.5252048188558927,0.5736111111111111,0.5377777777777778
2,1.2387315212428498,0.6171296296296296,0.5433333333333333
3,1.1043969747024567,0.6733333333333333,0.5796296296296296
4,1.0011032647879765,0.697037037037037,0.5644444444444444
5,0.917491075505935,0.7166203703703704,0.5640740740740741
6,0.831496033937393,0.7683333333333333,0.5796296296296296
7,0.7638163623022454,0.7706018518518518,0.5866666666666667
8,0.6949290403801791,0.8212962962962963,0.6148148148148148
9,0.6387431520499324,0.8419444444444445,0.6037037037037037
10,0.5897191559068488,0.8374074074074074,0.582962962962963
11,0.5367430817104563,0.8730092592592592,0.6033333333333334
12,0.4924700998068177,0.8859259259259259,0.6096296296296296
13,0.4545557857812441,0.8830555555555556,0.5903703703703703
14,0.4219176412441748,0.8992129629629629,0.6125925925925926
15,0.3909179679890434,0.9044907407407408,0.61
16,0.3663258847273668,0.9076851851851852,0.5992592592592593
17,0.33632075377984394,0.8970833333333333,0.5803703703703704
18,0.31540211565422943,0.9251851851851852,0.5907407407407408
19,0.29871455023004084,0.9360648148148148,0.61
20,0.2781180578397605,0.93,0.6066666666666667
21,0.23133960410539717,0.945324074074074,0.6044444444444445
22,0.2216283287814446,0.9520833333333333,0.6174074074074074
23,0.21558026333076416,0.952962962962963,0.6111111111111112
24,0.20924888579620304,0.9547685185185185,0.6162962962962963
25,0.20291176502996955,0.9575462962962963,0.6222222222222222
26,0.19728358860339387,0.9569444444444445,0.617037037037037
27,0.19178622385556687,0.95875,0.5996296296296296
28,0.18774527402772992,0.9573148148148148,0.5992592592592593
29,0.1861400578160659,0.9631944444444445,0.6107407407407407
30,0.18060722962988823,0.9605555555555556,0.6111111111111112
31,0.17599954475459492,0.9637037037037037,0.6125925925925926
32,0.1728987005618825,0.9670833333333333,0.6148148148148148
33,0.16970928048483416,0.9613888888888888,0.6033333333333334
34,0.1649135275901582,0.9677314814814815,0.6188888888888889
35,0.15977787561539736,0.9580092592592593,0.6033333333333334
36,0.16035397688390027,0.9683333333333334,0.6125925925925926
37,0.15716723925219767,0.9658333333333333,0.6103703703703703
38,0.15238895714980913,0.9662037037037037,0.6148148148148148
39,0.14920897736338598,0.9727314814814815,0.6081481481481481
40,0.14635791068510012,0.9668981481481481,0.6066666666666667
41,0.13611601618232508,0.9713425925925926,0.6092592592592593
42,0.1341628233577754,0.9721759259259259,0.6137037037037038
43,0.13293174252051124,0.9695833333333334,0.61
44,0.13167745185215018,0.9738888888888889,0.6111111111111112
45,0.1314340747244649,0.9743518518518518,0.6118518518518519
46,0.13044557012501157,0.9740740740740741,0.6096296296296296
47,0.1288321127302887,0.9690277777777778,0.6062962962962963
48,0.1269855771002185,0.971574074074074,0.6114814814814815
49,0.1265515269090971,0.9731018518518518,0.6062962962962963
50,0.1258701960670821,0.973287037037037,0.6096296296296296
