epoch,loss,train_acc,val_acc
1,8.755241853044788,0.38939814814814816,0.4003703703703704
2,2.7822907507887726,0.5348148148148149,0.524074074074074
3,1.9455901382151566,0.5297685185185185,0.4937037037037037
4,2.0985437567536254,0.5322222222222223,0.49925925925925924
5,2.3144948687273676,0.47162037037037036,0.4066666666666667
6,2.6559255007809046,0.6005092592592592,0.5333333333333333
7,2.367982399091305,0.5946296296296296,0.5018518518518519
8,2.5385271414659822,0.5655092592592592,0.4748148148148148
9,2.575466422662009,0.6077314814814815,0.5188888888888888
10,2.7511954886190715,0.5364351851851852,0.45740740740740743
11,3.1300713361663077,0.5186574074074074,0.4437037037037037
12,3.8451049423464885,0.4964351851851852,0.4040740740740741
13,4.8975271443801764,0.6604166666666667,0.5511111111111111
14,5.145389262601689,0.5433333333333333,0.457037037037037
15,6.410427032009138,0.5072685185185185,0.41703703703703704
16,6.147782681177233,0.6018518518518519,0.5103703703703704
17,7.69256656399049,0.5606018518518519,0.46370370370370373
18,9.562183695079309,0.5463425925925925,0.45740740740740743
19,9.246002964266502,0.49425925925925923,0.41962962962962963
20,10.79862516210056,0.3947222222222222,0.3348148148148148
21,4.523440178479801,0.7210648148148148,0.5403703703703704
22,2.2575360941853524,0.7486574074074074,0.5566666666666666
23,1.739068328101781,0.7893518518518519,0.5585185185185185
24,1.4510767522026071,0.7832870370370371,0.5577777777777778
25,1.197414820356334,0.7960185185185186,0.5514814814814815
26,1.0086859815350242,0.8051388888888888,0.5492592592592592
27,1.0330552547276406,0.8210185185185185,0.5396296296296297
28,0.9656323912425617,0.8634722222222222,0.5851851851851851
29,0.8853648052552755,0.8824074074074074,0.5974074074074074
30,0.7513218210139238,0.8718518518518519,0.5788888888888889
31,0.7914646153135807,0.8255555555555556,0.5777777777777777
32,0.795126422731135,0.8386574074074075,0.5581481481481482
33,0.6975073848335142,0.8672685185185185,0.5522222222222222
34,0.6969823901541538,0.9033796296296296,0.5955555555555555
35,0.5940803076561118,0.9123148148148148,0.6033333333333334
36,0.5348043080858405,0.8955092592592593,0.5733333333333334
37,0.6734042044705734,0.8738888888888889,0.5855555555555556
38,0.6431826454629717,0.8481481481481481,0.5603703703703704
39,0.5099348361347407,0.9093055555555556,0.6037037037037037
40,0.5487596488497384,0.9109259259259259,0.605925925925926
41,0.2694679101995528,0.95,0.6285185185185185
42,0.21007262015034148,0.9637962962962963,0.6214814814814815
43,0.19232142266969424,0.9662037037037037,0.6270370370370371
44,0.19508506868101574,0.9658796296296296,0.6225925925925926
45,0.18136864164834365,0.967037037037037,0.6211111111111111
46,0.17586652369331748,0.9736574074074074,0.6355555555555555
47,0.16534241079742426,0.9737037037037037,0.6292592592592593
48,0.1614861848498016,0.9687962962962963,0.6203703703703703
49,0.15982754811239455,0.9671296296296297,0.6237037037037036
50,0.1513566980992762,0.9777314814814815,0.6281481481481481
